q1	q2	q3	q4	q5	q6	q7	ee_px	ee_py	ee_pz	ee_qx	ee_qy	ee_qz	ee_qw	ar_px	ar_py	ar_pz	ar_qx	ar_qy	ar_qz	ar_qw	
-0.21018655458197255	-0.5909451643821441	-0.35881667329553424	-2.514544265345523	0.16004170391191713	2.1525087279682285	-0.4356783223773042	0.33357327812512205	-0.21550777607488908	0.4887603316019985	-0.9776145660786697	0.08403158521258	-0.1610330442730501	0.10619233272524638	-0.010604194641113281	0.01734477996826172	0.462	0.7894297770361999	-0.5822800996747928	0.1291223458707105	0.1451824109461392
-0.3738377374308286	-0.8065425173357404	0.2613546651497221	-2.409725205973575	0.06584209317087904	2.1187843494945104	-0.39315478728463255	0.3544266813017473	-0.009874918963788129	0.6199577903207604	-0.9609778580917411	-0.11105812637079174	-0.2187598272466923	-0.12779587946180293	-0.10730432891845704	0.05152801895141602	0.528	0.8843697341524259	-0.41057844683095374	0.21154281396472163	-0.06756589504281062
-0.5769193160461026	0.3019073489172417	0.14591318385115642	-1.464491664016456	0.031553785539335674	1.656679376072639	-0.4198947456496476	0.5785650374328128	-0.2752648754202997	0.5024415043923369	0.9978340190204026	-0.009827238081983936	-0.033054809571316596	-0.05601852766250495	-0.0874960479736328	-0.03794124603271484	0.434	0.8463894395206886	-0.5275195582374095	-0.04970863352050252	0.05363845727076372
-0.5172783014891654	-0.1740816324844739	0.39869465865586934	-1.5491951549596952	0.0313863764570819	1.4054801652166578	-0.14268329233420896	0.48319053721957234	-0.031336094593499314	0.7023442426443414	0.9997233189423512	0.012336800078433907	0.0058914626118952785	0.019141044773132325	0.06095542526245117	0.04179075241088867	0.597	0.8618148891782083	-0.5072195548554128	-0.0018420513562036175	-0.0001637370782001142
-0.8360266790352302	-0.34224299160660127	0.6734297756397907	-1.9613106077277471	0.0312636841237545	1.7529490007648747	0.2954820554646554	0.48253269549824496	-0.03497339151322362	0.5883493044189949	-0.9663298615037175	0.2390360986588783	-0.03630885732816578	-0.08803413646803052	-0.048234786987304684	0.005533352851867675	0.478	-0.7022142178764674	0.704599094957526	-0.050128036999852014	0.08900835637016404
-0.86012927837696	-0.8241868987418057	0.6478021030542914	-2.425247908843191	0.30076049305286856	1.945236819320255	0.00971327246383428	0.3788978872773055	-0.020096065973262467	0.5385451566132088	-0.9678348308927684	0.2053389068140375	-0.10233687396091899	-0.10324164705722884	-0.03921089172363281	-0.03247589874267578	0.446	0.7218467212799626	-0.6788307323942575	0.10914456299686069	-0.078826468287424
-0.8794593299357159	-0.6693661407214018	0.2560102058358936	-2.5934838738416	0.6246445820051402	2.0923282610332588	-0.4821267412920998	0.31975002395553115	-0.18937071469073918	0.4821312064198423	-0.9508955907123405	0.2198293520571482	-0.17948719079324718	0.12351914782377259	-0.02670076560974121	0.05400346755981445	0.455	0.6945648160340857	-0.6844708490301658	0.13978692519486743	0.17186910338983316
-1.2749949796591935	-0.31085423751044694	0.6764978154360892	-2.1179650246844557	0.33736004029736877	1.8832430566681755	-0.41699281380822256	0.4291932382107072	-0.2334311329721645	0.5139789013568152	-0.9862423316130056	0.15188219046328666	-0.040820932354425035	0.05090692522959984	-0.061389171600341796	-0.04097719955444336	0.444	0.762029205560851	-0.6429095794983499	0.03484696129785797	0.06902500814819731
-2.2400894267951186	-0.8680890615869206	1.6450135101017362	-1.3043888360664322	0.5478814069600506	1.3369058054767011	-0.6576466731851298	0.6367797083340807	-0.019717533926584374	0.5194490336237579	-0.9814071885251401	-0.08989395298210351	0.13158879893049724	-0.10697380765617687	0.007979351997375489	-0.016036102294921875	0.414	0.8866643341697998	-0.43306915992348344	-0.12125084626915518	-0.10759039693861014
-1.3111094957506448	-0.9266409640637228	1.102554263616863	-2.192973291196321	0.5490571147070991	1.8675249667551244	-0.24260515378167233	0.4684394272563621	0.03903186576999024	0.5076658265273872	-0.9799713432233786	0.10405216395574723	-0.0668074939920407	-0.15609635608686256	-0.024786218643188477	0.01409605312347412	0.411	0.7845296961100955	-0.5979756488128533	0.08078672434333832	-0.1428698166798071
